monotonic_ns,phase,taskbeat,motion_heartbeat,motion_type,interp_state,exec_state,x_cmd
228346534520,P1-fast-idle,183,535,0,1,2,0.0
228346703726,P1-fast-idle,183,535,0,1,2,0.0
228346872251,P1-fast-idle,183,535,0,1,2,0.0
228347041436,P1-fast-idle,183,535,0,1,2,0.0
228347211023,P1-fast-idle,183,535,0,1,2,0.0
228347379637,P1-fast-idle,183,535,0,1,2,0.0
228347548953,P1-fast-idle,184,537,0,1,2,0.0
228347717568,P1-fast-idle,184,537,0,1,2,0.0
228347890320,P1-fast-idle,184,537,0,1,2,0.0
228348064815,P1-fast-idle,184,537,0,1,2,0.0
228348234071,P1-fast-idle,184,537,0,1,2,0.0
228348402796,P1-fast-idle,184,537,0,1,2,0.0
228348572292,P1-fast-idle,185,538,0,1,2,0.0
228348741398,P1-fast-idle,185,538,0,1,2,0.0
228348909862,P1-fast-idle,185,538,0,1,2,0.0
228349078977,P1-fast-idle,185,538,0,1,2,0.0
228349247392,P1-fast-idle,185,538,0,1,2,0.0
228349415706,P1-fast-idle,185,538,0,1,2,0.0
228349584391,P1-fast-idle,185,538,0,1,2,0.0
228349753326,P1-fast-idle,186,539,0,1,2,0.0
228349922842,P1-fast-idle,186,539,0,1,2,0.0
228350091707,P1-fast-idle,186,539,0,1,2,0.0
228350260171,P1-fast-idle,186,539,0,1,2,0.0
228350428826,P1-fast-idle,186,539,0,1,2,0.0
228350597340,P1-fast-idle,186,539,0,1,2,0.0
228350766015,P1-fast-idle,187,540,0,1,2,0.0
228350934710,P1-fast-idle,187,540,0,1,2,0.0
228351107782,P1-fast-idle,187,540,0,1,2,0.0
228351276327,P1-fast-idle,187,540,0,1,2,0.0
228351445202,P1-fast-idle,187,540,0,1,2,0.0
228351613426,P1-fast-idle,187,540,0,1,2,0.0
228351782080,P1-fast-idle,188,541,0,1,2,0.0
228351951146,P1-fast-idle,188,541,0,1,2,0.0
228352127255,P1-fast-idle,188,541,0,1,2,0.0
228352298093,P1-fast-idle,188,541,0,1,2,0.0
228352468882,P1-fast-idle,188,541,0,1,2,0.0
228352639801,P1-fast-idle,188,541,0,1,2,0.0
228352810770,P1-fast-idle,189,542,0,1,2,0.0
228352981949,P1-fast-idle,189,542,0,1,2,0.0
228353153539,P1-fast-idle,189,542,0,1,2,0.0
228353324218,P1-fast-idle,189,542,0,1,2,0.0
228353495317,P1-fast-idle,189,542,0,1,2,0.0
228353665805,P1-fast-idle,189,542,0,1,2,0.0
228353836123,P1-fast-idle,189,542,0,1,2,0.0
228354007533,P1-fast-idle,190,543,0,1,2,0.0
228354178872,P1-fast-idle,190,543,0,1,2,0.0
228354349651,P1-fast-idle,190,543,0,1,2,0.0
228354524297,P1-fast-idle,190,543,0,1,2,0.0
228354695667,P1-fast-idle,190,543,0,1,2,0.0
228354866485,P1-fast-idle,190,543,0,1,2,0.0
228355038175,P1-fast-idle,191,544,0,1,2,0.0
228355213262,P1-fast-idle,191,544,0,1,2,0.0
228355384101,P1-fast-idle,191,544,0,1,2,0.0
228355554599,P1-fast-idle,191,544,0,1,2,0.0
228355725268,P1-fast-idle,191,544,0,1,2,0.0
228355896367,P1-fast-idle,191,544,0,1,2,0.0
228356069009,P1-fast-idle,192,545,0,1,2,0.0
228356240048,P1-fast-idle,192,545,0,1,2,0.0
228356411047,P1-fast-idle,192,545,0,1,2,0.0
228356581675,P1-fast-idle,192,545,0,1,2,0.0
228356752063,P1-fast-idle,192,545,0,1,2,0.0
228356922832,P1-fast-idle,192,545,0,1,2,0.0
228357093360,P1-fast-idle,193,546,0,1,2,0.0
228357264229,P1-fast-idle,193,546,0,1,2,0.0
228357434356,P1-fast-idle,193,546,0,1,2,0.0
228357602820,P1-fast-idle,193,546,0,1,2,0.0
228357777386,P1-fast-idle,193,546,0,1,2,0.0
228357948255,P1-fast-idle,193,546,0,1,2,0.0
228358119765,P1-fast-idle,193,546,0,1,2,0.0
228358289431,P1-fast-idle,194,547,0,1,2,0.0
228358460811,P1-fast-idle,194,547,0,1,2,0.0
228358638062,P1-fast-idle,194,547,0,1,2,0.0
228358809091,P1-fast-idle,194,547,0,1,2,0.0
228358983596,P1-fast-idle,194,547,0,1,2,0.0
228359155898,P1-fast-idle,194,547,0,1,2,0.0
228359327678,P1-fast-idle,195,548,0,1,2,0.0
228359498798,P1-fast-idle,195,548,0,1,2,0.0
228359669837,P1-fast-idle,195,548,0,1,2,0.0
228359840285,P1-fast-idle,195,548,0,1,2,0.0
228360012306,P1-fast-idle,195,548,0,1,2,0.0
228360183395,P1-fast-idle,195,548,0,1,2,0.0
228360354645,P1-fast-idle,196,549,0,1,2,0.0
