== fixture-after-attach ==
UTC 2026-09-09T04:22:13Z
-- comps --
Loaded HAL Components:
ID      Type  Name                                                    PID   State
    11  u32   RW             0x004C4B40  hm2_test.0.watchdog.timeout_ns
    11  s32   RW                   3555  hm2_test.0.write.tmax
    11  bit   RO                  FALSE  hm2_test.0.write.tmax-increased
    11  s32   RW                      0  hm2_test.0.write_gpio.tmax
    11  bit   RO                  FALSE  hm2_test.0.write_gpio.tmax-increased

-- ipcs --

------ Shared Memory Segments --------
key        shmid      owner      perms      bytes      nattch     status      
0x48484c34 12         runner     600        16         2                       
0x48414c32 13         runner     600        2097152    2                       
0x48534130 14         runner     600        2640120    1                       

-- /dev/shm --
total 84
drwxrwxrwt  2 root root    60 Sep  9 04:17 .
drwxr-xr-x 19 root root  4000 Sep  9 04:17 ..
-rw-------  1 root root 82488 Sep  9 04:17 libpod_lock
